"artist","bdp","bdp_s","beg","beg_s","bsp","bsp_s","cdp","cdp_s","csp","csp_s","ddp","ddp_s","dsp","dsp_s","edp","edp_s","esp","esp_s","konami_id","sa4_id","title"
"Crystal Aliens","5","0","3","0","7","0","-1","0","-1","0","7","0","8","0","10","0","11","0","60QoP9DoIo90D616989Q0D0iodOoOd91","44","SEXY PLANET"
"D.J.RICH feat. TAILBROS.","5","0","3","0","7","0","-1","0","-1","0","9","0","8","0","11","0","12","0","88do8dl8O6Ql1Qlb981lOi8D86oiq91P","45","SUPER STAR"
"DE-SIRE","7","0","5","0","7","0","-1","0","-1","0","9","0","9","0","12","0","12","0","D81D8689llDiOqPq0IP19bbQQiioPl8d","46","TRIP MACHINE CLIMAX"
"FACTOR-X","5","0","5","0","6","0","-1","0","-1","0","9","0","7","0","11","0","10","0","01808Q1Q6lQQ1lP0qd80I0b0qqDd1OOP","47","WILD RUSH"
"dj TAKA","4","0","3","0","4","0","-1","0","-1","0","7","0","8","0","11","0","11","0","qdi88l6bo1Iqi9Qiqli8lIQQIPO1doQ9","48","ABSOLUTE"
"dj TAKA","5","0","3","0","4","0","-1","0","-1","0","8","0","7","0","11","0","10","0","Q0qQO0P8818lIoo0boO66O0qd09dIlO8","49","Abyss"
"8 bit","7","0","4","0","7","0","-1","0","-1","0","9","0","9","0","13","0","12","0","18911Q6o6do9Dd1blIo6IliPd0PPb99i","50","AFRONOVA PRIMEVAL"
"NAOKI feat. PAULA TERRY","5","0","3","0","5","0","-1","0","-1","0","9","0","7","0","12","0","12","0","iIP09bOq1l1b9b1l011IDIQ6Iill90Io","51","BROKEN MY HEART"
"NAOKI","5","0","4","0","6","0","-1","0","-1","0","9","0","9","0","12","0","12","0","DOqPd1Iid6oObd8i96I9oo8obbODb96o","52","CAN'T STOP FALLIN' IN LOVE 〜SPEED MIX〜"
"TaQ","6","0","5","0","6","0","-1","0","-1","0","9","0","9","0","12","0","12","0","QDP0i688bQi1Idqil1dOqDdPdoIPP6Q0","53","DXY!"
"d-complex","6","0","4","0","5","0","-1","0","-1","0","8","0","8","0","11","0","10","0","bPD6ObloQPOOiQb1DbQDdilodiddlIlb","54","ECSTASY"
"TaQ","5","0","4","0","6","0","-1","0","-1","0","9","0","9","0","11","0","12","0","IPi69l86oqdDd8qoll61166D8969869I","55","Electro Tuned ( the SubS Mix )"
"DE-SIRE","4","0","4","0","5","0","-1","0","-1","0","8","0","7","0","13","0","11","0","qIDI69oIo8OlQqdqqDilI1do6IbP16Q6","56","Healing Vision"
"NAOKI underground","5","0","4","0","6","0","-1","0","-1","0","9","0","9","0","12","0","13","0","6oldqOoilo1OoP6P9OoO8bdD9lI86qdQ","57","INSERTiON"
"STM 200","9","0","4","0","8","0","-1","0","-1","0","11","0","10","0","13","0","13","0","PP1q0iii1D6Dq9QOd0qqDOQD0160QoPD","58","PARANOiA ETERNAL"
"NAOKI","6","0","3","0","6","0","-1","0","-1","0","7","0","8","0","9","0","10","0","Qb90bo6I0Pd9181iIoOPoqPOOOQq6dQ1","59","STILL IN MY HEART"
"Togo Project feat. Sana","5","0","3","0","4","0","-1","0","-1","0","9","0","9","0","12","0","12","0","doIiQl6oDPP6i9qobqoobblPQqPiI9bD","60","サナ・モレッテ・ネ・エンテ"
"Luv UNLIMITED","5","0","4","0","6","0","-1","0","-1","0","8","0","7","0","11","0","11","0","OPbqldiq0dQIo1011086IOl1qbOloOl9","61","CANDY☆"
"RevenG","5","0","4","0","5","0","-1","0","-1","0","9","0","8","0","13","0","13","0","iOPbIi1b99819b9QiD8QbdPbq0DqO0DO","62","exotic ethnic"
"2MB","8","0","5","0","7","0","-1","0","-1","0","10","0","11","0","14","0","13","0","olQQ8QPPqqObDD9ooodOl9i9od8b06I9","63","Healing Vision 〜Angelic mix〜"
"Stone Bros.","6","0","3","0","6","0","-1","0","-1","0","7","0","7","0","10","0","10","0","bP69QdDQ0QQ9dP0dDio0dO61i9Dbdl00","64","Let the beat hit em!(CLASSIC R&amp;B STYLE)"
"Ω","9","0","5","0","9","0","-1","0","-1","0","12","0","12","0","15","0","15","0","6P18lOliIQqIO6Di0PP8iDlDQ01b0o0q","65","MAX 300"
"2MB","9","0","4","0","9","0","-1","0","-1","0","11","0","12","0","13","0","13","0","61ido0DPl8q0dI1i011Do1b6669dPIlo","66","ORION.78〜civilization mix〜"
"RE-VENGE","-1","0","-1","0","-1","0","10","0","10","0","-1","0","-1","0","-1","0","-1","0","DdO1iboqI6980Q6QPD9P1PbQQ88I16lq","67","AFRONOVA(FROM NONSTOP MEGAMIX)"
"KTz","-1","0","-1","0","-1","0","11","0","10","0","-1","0","-1","0","-1","0","-1","0","808dq8OIq16PP19i1bP0IDP1OqPOlo6q","68","AM-3P(AM EAST mix)"
"NAOKI","-1","0","-1","0","-1","0","10","0","10","0","-1","0","-1","0","-1","0","-1","0","POIDil00didIo98D10loIObibPOob88O","69","B4U(B4 ZA BEAT MIX)"
"NAOKI","5","0","3","0","5","0","-1","0","-1","0","8","0","8","0","13","0","12","0","bqQ1OQDidQD8QbIqql06O6o1QD6oOodP","70","BRE&forall;K DOWN！"
"BeForU","-1","0","-1","0","-1","0","9","0","10","0","-1","0","-1","0","-1","0","-1","0","i18OPo6l8Q6bo9q0qP6889IDqoP8O0Qq","71","BRILLIANT 2U(K.O.G G3 MIX)"
"NAOKI","-1","0","-1","0","-1","0","10","0","10","0","-1","0","-1","0","-1","0","-1","0","QdbPPPDlIQiI191qPdblO01O8P8o6D68","72","BURNIN' THE FLOOR(BLUE FIRE mix)"
"Mr.T with Motoaki. F","4","0","3","0","4","0","-1","0","-1","0","7","0","8","0","12","0","13","0","i86qD6Pl61dPI0Q9db1P8bl1ii99q1lD","73","BURNING HEAT！（3 Option MIX）"
"小坂りゆ","4","0","4","0","5","0","-1","0","-1","0","6","0","7","0","10","0","10","0","1Qqo9bID18OdiI1Qb0lP9DIqIO6ldPOP","74","CANDY&#9825;"
"N.M.R","-1","0","-1","0","-1","0","10","0","11","0","-1","0","-1","0","-1","0","-1","0","O6q1o06Po9lQbqOl08Io1obqQ9QPi09b","75","CELEBRATE NITE(EURO TRANCE STYLE)"
"NAOKI","4","0","3","0","4","0","-1","0","-1","0","8","0","7","0","11","0","11","0","iQo0QOoI6bOPQlbb9ldOo9lbdD1idiOO","76","D2R"
"NAOKI feat. PAULA TERRY","3","0","3","0","3","0","-1","0","-1","0","8","0","7","0","11","0","10","0","98q8616ddDIqdo1dbqbO0Po96oldo1Oo","77","DESTINY"
"小坂りゆ","5","0","3","0","4","0","-1","0","-1","0","9","0","8","0","12","0","11","0","8Pb6oPdbO6lo8lbiQ181IDidI9ll8q80","78","DIVE TO THE NIGHT"
"NW260","-1","0","-1","0","-1","0","13","0","12","0","-1","0","-1","0","-1","0","-1","0","d0P01d9q8oOd8OP1bQPoqlq96906PqPD","79","DROP OUT(FROM NONSTOP MEGAMIX)"
"d-complex","-1","0","-1","0","-1","0","11","0","11","0","-1","0","-1","0","-1","0","-1","0","Dd6lP00DPqIb0d6iqOdlO08l69l6q1di","80","ECSTASY (midnight blue mix)"
"NM feat. SUNNY","-1","0","-1","0","-1","0","11","0","11","0","-1","0","-1","0","-1","0","-1","0","8DQDq16PPlli6o9iDl11DqooqOPlOb08","81","HIGHER(next morning mix)"
"NM","-1","0","-1","0","-1","0","11","0","10","0","-1","0","-1","0","-1","0","-1","0","lPloI86odlIbIo96P169b9I0Ob8lD189","82","HYSTERIA 2001"
"AKIRA YAMAOKA","3","0","3","0","4","0","-1","0","-1","0","8","0","8","0","12","0","12","0","DddIPd6iId8Doqq8OibDlD1dOi8PO8o9","83","i feel ..."
"Z","7","0","5","0","10","0","-1","0","-1","0","12","0","13","0","15","0","16","0","lObPDQDI08DoodDq1061IP1qbQ1qQQbl","84","MAXX UNLIMITED"
"MITSU-O! with GEILA","-1","0","-1","0","-1","0","11","0","12","0","-1","0","-1","0","-1","0","-1","0","d99P0I1i960QO0oolD6oQIO8OObO9Plb","85","MY SUMMER LOVE(TOMMY'S SMILE MIX)"
"NM feat. EBONY FAY","5","0","3","0","3","0","-1","0","-1","0","7","0","9","0","12","0","12","0","Qo9l6l6lq0q618bQOb8d6qiooiiPQqoI","86","rain of sorrow"
"DIVAS","4","0","3","0","4","0","-1","0","-1","0","8","0","7","0","12","0","12","0","Db9D6Old6lIo01q0qlQ0dD1oDdbdob8I","87","Secret Rendez-vous"
"Crystal Aliens","-1","0","-1","0","-1","0","9","0","10","0","-1","0","-1","0","-1","0","-1","0","O06Id8PIDbDblO109ddi1dldd0bqDdQ1","88","SEXY PLANET(FROM NONSTOP MEGAMIX)"
"THOMAS HOWARD","-1","0","-1","0","-1","0","11","0","10","0","-1","0","-1","0","-1","0","-1","0","oio6bqP08PPoP9qIq1oi9Dib9PIq9l11","89","Silent Hill (3rd christmas mix)"
"NAOKI","-1","0","-1","0","-1","0","12","0","11","0","-1","0","-1","0","-1","0","-1","0","DOOb99dlP8PdIbDOQIqoqll60Iob9189","90","STILL IN MY HEART(MOMO MIX)"
"D.J.RICH feat. TAILBROS.","-1","0","-1","0","-1","0","11","0","10","0","-1","0","-1","0","-1","0","-1","0","0qQ1odlooiQO99DDP6bD9bOq89669PQb","91","SUPER STAR(FROM NONSTOP MEGAMIX)"
"jun","5","0","4","0","5","0","-1","0","-1","0","8","0","9","0","11","0","13","0","8809ol0qbbd6919bbl0b8id1669PqQ08","92","Sweet Sweet &hearts; Magic"
"RevenG vs DE-SIRE","6","0","3","0","5","0","-1","0","-1","0","9","0","9","0","13","0","12","0","io688qld6Pqq6bI01q86illP18biq0bd","93","TSUGARU"
"RevenG vs DE-SIRE","-1","0","-1","0","-1","0","11","0","11","0","-1","0","-1","0","-1","0","-1","0","1qDD1DdPlId69010IQ18I6q8Q00IoI6D","94","TSUGARU (APPLE MIX)"
"FACTOR-X","-1","0","-1","0","-1","0","10","0","9","0","-1","0","-1","0","-1","0","-1","0","ibOQ0QOdIPdIbIo0oPoDDI1DqPId00li","95","WILD RUSH(FROM NONSTOP MEGAMIX)"
"dj TAKA with NAOKI","4","0","3","0","5","0","11","0","11","0","8","0","9","0","11","0","12","0","l9lq19DdiD8qQPoPOlboi1qQii0IQI86","96","革命"
